dc,hf_month,hf_week,delivery_date,source,destination,sku,sku_category,randomized_delivery_quantity
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-35165,C_05,408
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-92488,C_08,62
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-11082,C_06,218
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-56415,C_08,17
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-62890,C_07,26
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-14226,C_04,58
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-92940,C_05,102
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-78026,C_05,660
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-67027,C_08,38
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-63543,C_08,18
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-61451,C_08,232
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-46130,C_08,126
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-73026,C_06,18
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-16820,C_08,163
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-41243,C_05,174
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-87871,C_05,99
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-82090,C_05,305
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-19485,C_05,115
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-33733,C_05,6
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-37458,C_05,1235
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-45430,C_06,189
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-11331,C_05,193
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-94275,C_06,163
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-30356,C_05,19
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-34495,C_08,59
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-54292,C_05,5318
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-28247,C_08,144
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-86300,C_06,934
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-82673,C_05,198
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-67490,C_05,103
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-24315,C_06,161
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-73136,C_05,14
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-27457,C_08,34
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-36252,C_05,970
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-84748,C_05,82
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-55117,C_08,83
