sku,has_packaging,category,unit_weight_grams,packaging_type
alias-49384,yes,paper,0.6,label
alias-49384,yes,plastic,26.0,thermoform
alias-79751,yes,paper,0.6,label
alias-79751,yes,paper,0.6,label
alias-79751,yes,plastic,8.0,flowpack
alias-79751,yes,plastic,12.0,thermoform
alias-69325,yes,paper,0.6,label
alias-69325,yes,plastic,12.0,thermoform
alias-69325,yes,paper,0.6,label
alias-69325,yes,plastic,8.0,flowpack
alias-74268,yes,paper,0.6,label
alias-74268,yes,plastic,12.0,thermoform
alias-19089,yes,paper,0.6,label
alias-19089,yes,plastic,12.0,thermoform
alias-24098,yes,plastic,12.0,thermoform
alias-24098,yes,paper,0.6,label
alias-28027,yes,paper,0.6,label
alias-28027,yes,paper,0.6,label
alias-28027,yes,plastic,12.0,thermoform
alias-28027,yes,plastic,8.0,flowpack
alias-85807,yes,plastic,12.0,thermoform
alias-85807,yes,paper,0.6,label
alias-68778,yes,plastic,12.0,thermoform
alias-68778,yes,paper,0.6,label
alias-86815,yes,plastic,26.0,thermoform
alias-86815,yes,paper,2.0,label
alias-86815,yes,paper,0.4,tray
alias-86815,yes,paper,0.6,label
alias-86815,yes,paper,0.6,label
alias-86815,yes,plastic,8.0,flowpack
alias-86815,yes,plastic,18.0,flowpack
alias-45634,yes,plastic,12.0,thermoform
alias-45634,yes,paper,0.6,label
alias-89564,yes,paper,0.6,label
alias-89564,yes,paper,0.6,label
alias-89564,yes,plastic,8.0,flowpack
alias-89564,yes,plastic,12.0,thermoform
alias-11384,yes,paper,0.6,label
alias-11384,yes,plastic,12.0,thermoform
alias-94947,yes,paper,,tray
alias-94947,yes,plastic,7.5,thermoform
alias-43788,yes,paper,17.67,tray
alias-43788,yes,plastic,7.53,flowpack
alias-81623,yes,plastic,7.53,flowpack
alias-81623,yes,paper,17.67,tray
alias-19284,yes,paper,17.67,tray
alias-19284,yes,plastic,3.4,flowpack
alias-73419,yes,plastic,7.53,flowpack
alias-73419,yes,paper,17.67,tray
alias-65201,yes,paper,17.67,tray
alias-65201,yes,plastic,4.13,flowpack
alias-73519,yes,paper,21.5,tray
alias-73519,yes,plastic,4.83,flowpack
alias-13305,yes,paper,21.5,tray
alias-13305,yes,plastic,4.1,flowpack
alias-29072,yes,plastic,12.0,thermoform
alias-29072,yes,paper,0.6,label
alias-25782,yes,plastic,12.0,thermoform
alias-25782,yes,paper,0.6,label
alias-25782,yes,plastic,8.0,flowpack
alias-25782,yes,paper,0.6,label
alias-12541,yes,paper,0.6,label
alias-12541,yes,plastic,26.0,thermoform
alias-12541,yes,paper,0.6,label
alias-12541,yes,plastic,8.0,flowpack
alias-89211,yes,plastic,12.0,thermoform
alias-89211,yes,paper,0.6,label
alias-27269,yes,paper,0.6,label
alias-27269,yes,plastic,19.0,thermoform
alias-27269,yes,paper,0.6,label
alias-27269,yes,plastic,8.0,flowpack
alias-34396,yes,paper,0.6,label
alias-34396,yes,plastic,12.0,thermoform
alias-54705,yes,plastic,12.0,thermoform
alias-54705,yes,paper,0.6,label
alias-60688,yes,plastic,12.0,thermoform
alias-60688,yes,paper,0.6,label
alias-90638,yes,paper,0.6,label
alias-90638,yes,plastic,12.0,thermoform
alias-20886,yes,plastic,12.0,flowpack
alias-20886,yes,paper,0.6,label
alias-20886,yes,plastic,8.0,flowpack
alias-20886,yes,paper,0.6,label
alias-91936,yes,plastic,8.0,flowpack
alias-91936,yes,paper,0.6,label
alias-91936,yes,plastic,12.0,flowpack
alias-91936,yes,paper,0.6,label
alias-82701,yes,plastic,8.0,flowpack
alias-82701,yes,paper,0.6,label
alias-82701,yes,paper,0.6,label
alias-82701,yes,plastic,12.0,flowpack
alias-56226,yes,plastic,7.0,thermoform
alias-73932,yes,plastic,8.0,flowpack
alias-73932,yes,paper,0.6,label
alias-73932,yes,plastic,8.0,flowpack
alias-73932,yes,paper,0.6,label
alias-37566,yes,plastic,12.0,thermoform
